
STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,"CRIMINAL
CASES",AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,"GENERAL
VOTES","POSTAL
VOTES","TOTAL
VOTES","OVER TOTAL ELECTORS 
IN CONSTITUENCY","OVER TOTAL VOTES POLLED 
IN CONSTITUENCY",TOTAL ELECTORS
Manipur,INNER MANIPUR,OINAM NABAKISHORE SINGH,0,INC,Hand,MALE,1,59,GENERAL,Post Graduate,"Rs 1,78,67,003
 ~ 1 Crore+","Rs 14,01,257
 ~ 14 Lacs+",244972,905,245877,26.22788715,32.33283714,937464
Manipur,INNER MANIPUR,MOIRANGTHEM NARA SINGH,0,CPI(M),Ears of Corn And Sickle,MALE,0,69,GENERAL,Graduate Professional,"Rs 35,58,822
 ~ 35 Lacs+","Rs 55,89,692
 ~ 55 Lacs+",133093,720,133813,14.27393479,17.59641583,937464
Manipur,INNER MANIPUR,RAJKUMAR SOMENDRO SINGH (KAIKU),0,IND,SHIP,MALE,0,40,GENERAL,10th Pass,"Rs 30,02,505
 ~ 30 Lacs+","Rs 6,30,405
 ~ 6 Lacs+",80566,1068,81634,8.707961052,10.73487486,937464
Manipur,INNER MANIPUR,R.K. ANAND,0,NEINDP,Walking Stick,MALE,0,59,GENERAL,Graduate Professional,"Rs 52,66,941
 ~ 52 Lacs+","Rs 29,63,600
 ~ 29 Lacs+",24938,72,25010,2.667835778,3.288816184,937464
Madhya Pradesh,JABALPUR,RAKESH SINGH,1,BJP,Lotus,MALE,1,56,GENERAL,Graduate,"Rs 4,31,34,351
 ~ 4 Crore+","Rs 13,87,000
 ~ 13 Lacs+",825674,780,826454,45.41223028,65.38091546,1819893
Madhya Pradesh,JABALPUR,Pt. VIVEK KRISHNA TANKHA,0,INC,Hand,MALE,0,63,GENERAL,Graduate Professional,"Rs 66,91,18,888
 ~ 66 Crore+","Rs 1,10,15,354
 ~ 1 Crore+",371562,148,371710,20.42482717,29.40604085,1819893
Madhya Pradesh,JABALPUR,AD. RAMRAJ RAM,0,BSP,Elephant,MALE,0,78,SC,Post Graduate,"Rs 5,20,000
 ~ 5 Lacs+","Rs 0
 ~",12856,17,12873,0.707349278,1.018385203,1819893
West Bengal,JADAVPUR,MIMI CHAKRABORTY,1,AITC,Flowers and Grass,FEMALE,0,30,GENERAL,Graduate,"Rs 2,43,98,786
 ~ 2 Crore+","Rs 19,00,788
 ~ 19 Lacs+",687773,699,688472,37.89357115,47.90093531,1816857
West Bengal,JADAVPUR,ANUPAM HAZRA,0,BJP,Lotus,MALE,0,37,GENERAL,Doctorate,"Rs 1,34,31,986
 ~ 1 Crore+","Rs 0
 ~",392610,623,393233,21.6435856,27.35946922,1816857
West Bengal,JADAVPUR,BIKASH RANJAN BHATTACHARYYA,0,CPI(M),"Hammer, Sickle and Star",MALE,0,68,GENERAL,Graduate Professional,"Rs 12,00,34,163
 ~ 12 Crore+","Rs 2,43,58,926
 ~ 2 Crore+",301560,704,302264,16.63664229,21.03023552,1816857
West Bengal,JADAVPUR,NOTA,0,NOTA,,,,,,,,,15516,25,15541,0.855378271,1.081276269,1816857
Odisha,JAGATSINGHPUR,RAJASHREE MALLICK,1,BJD,Conch,FEMALE,0,54,SC,Graduate Professional,"Rs 4,00,23,972
 ~ 4 Crore+","Rs 14,33,305
 ~ 14 Lacs+",618955,1030,619985,37.72127562,50.41237507,1643595
Odisha,JAGATSINGHPUR,BIBHU PRASAD TARAI,0,BJP,Lotus,MALE,0,55,SC,Post Graduate,"Rs 54,05,384
 ~ 54 Lacs+","Rs 5,50,000
 ~ 5 Lacs+",346398,1932,348330,21.19317715,28.32349591,1643595
Odisha,JAGATSINGHPUR,PRATIMA MALLICK,0,INC,Hand,FEMALE,0,56,SC,Post Graduate,"Rs 28,89,737
 ~ 28 Lacs+","Rs 2,75,000
 ~ 2 Lacs+",239114,570,239684,14.58291124,19.48924524,1643595
Bihar,JAHANABAD,CHANDESHWAR PRASAD,1,JD(U),Arrow,MALE,3,68,GENERAL,10th Pass,"Rs 13,92,71,693
 ~ 13 Crore+","Rs 0
 ~",333191,2393,335584,21.12645377,40.81373528,1588454
Bihar,JAHANABAD,SURENDRA PRASAD YADAV,0,RJD,Hurricane Lamp,MALE,8,60,GENERAL,Post Graduate,"Rs 8,73,52,346
 ~ 8 Crore+","Rs 30,63,057
 ~ 30 Lacs+",332116,1717,333833,21.0162208,40.60077861,1588454
Bihar,JAHANABAD,ARUN KUMAR,0,RSPSR,Truck,MALE,3,60,GENERAL,Doctorate,"Rs 6,94,73,960
 ~ 6 Crore+","Rs 11,15,692
 ~ 11 Lacs+",34088,470,34558,2.175574489,4.202944907,1588454
Bihar,JAHANABAD,NOTA,0,NOTA,,,,,,,,,27574,109,27683,1.742763719,3.366807219,1588454
Bihar,JAHANABAD,KUNTI DEVI,0,CPI(ML)(L),Flag with Three Stars,FEMALE,5,54,GENERAL,Literate,"Rs 4,15,800
 ~ 4 Lacs+","Rs 0
 ~",26285,40,26325,1.657271788,3.201647222,1588454
Bihar,JAHANABAD,NITYA NAND SINGH,0,BSP,Elephant,MALE,3,38,GENERAL,12th Pass,"Rs 3,69,29,975
 ~ 3 Crore+","Rs 6,98,096
 ~ 6 Lacs+",19024,187,19211,1.209414941,2.336442347,1588454
Bihar,JAHANABAD,SUNIL KUMAR,0,PPID,Table,MALE,0,38,GENERAL,Graduate,"Rs 25,53,613
 ~ 25 Lacs+","Rs 0
 ~",9444,0,9444,0.594540352,1.148579539,1588454
Bihar,JAHANABAD,ARBIND KUMAR,0,ravp,Scissors,MALE,1,68,GENERAL,Doctorate,"Rs 91,20,02,858
 ~ 91 Crore+","Rs 12,92,562
 ~ 12 Lacs+",9096,13,9109,0.573450663,1.10783683,1588454
Rajasthan,JAIPUR,Ramcharan Bohra,1,BJP,Lotus,MALE,0,61,GENERAL,12th Pass,"Rs 16,53,22,707
 ~ 16 Crore+","Rs 2,20,00,000
 ~ 2 Crore+",918472,5593,924065,43.44409388,63.44395423,2127021
Rajasthan,JAIPUR,Jyoti Khandelwal,0,INC,Hand,FEMALE,0,44,GENERAL,Doctorate,"Rs 79,59,622
 ~ 79 Lacs+","Rs 21,50,000
 ~ 21 Lacs+",490741,2698,493439,23.19859559,33.87826758,2127021
Rajasthan,JAIPUR RURAL,COL. RAJYAVARDHAN RATHORE,1,BJP,Lotus,MALE,0,49,GENERAL,Graduate,"Rs 12,78,08,070
 ~ 12 Crore+","Rs 0
 ~",811626,8506,820132,42.00329622,64.08948578,1952542
Rajasthan,JAIPUR RURAL,KRISHNA POONIA,0,INC,Hand,FEMALE,0,41,GENERAL,Graduate,"Rs 3,59,99,524
 ~ 3 Crore+","Rs 43,27,330
 ~ 43 Lacs+",422223,4738,426961,21.86693039,33.36500824,1952542
Odisha,JAJPUR,SARMISTHA SETHI,1,BJD,Conch,FEMALE,0,45,SC,Post Graduate,"Rs 1,58,37,082
 ~ 1 Crore+","Rs 0
 ~",542476,1544,544020,36.88253683,49.77469544,1475007
Odisha,JAJPUR,AMIYA KANTA MALLICK,0,BJP,Lotus,MALE,1,61,SC,10th Pass,"Rs 2,45,85,630
 ~ 2 Crore+","Rs 12,46,347
 ~ 12 Lacs+",438171,4156,442327,29.98812887,40.47037188,1475007
Odisha,JAJPUR,MANAS JENA,0,INC,Hand,MALE,0,50,SC,Post Graduate,"Rs 1,38,61,925
 ~ 1 Crore+","Rs 27,60,000
 ~ 27 Lacs+",82834,487,83321,5.648854548,7.623391417,1475007
Punjab,JALANDHAR,Santokh Singh Chaudhary,1,INC,Hand,MALE,0,72,SC,Graduate Professional,"Rs 9,99,25,185
 ~ 9 Crore+","Rs 25,34,363
 ~ 25 Lacs+",385449,263,385712,23.85329044,37.83704776,1617018
Punjab,JALANDHAR,Charanjit Singh Atwal,0,SAD,Scales,MALE,0,82,SC,Graduate Professional,"Rs 3,86,33,246
 ~ 3 Crore+","Rs 22,97,303
 ~ 22 Lacs+",365934,287,366221,22.64792352,35.92504633,1617018
Punjab,JALANDHAR,Balwinder Kumar,0,BSP,Elephant,MALE,0,40,SC,Post Graduate,"Rs 10,48,289
 ~ 10 Lacs+","Rs 32,500
 ~ 32 Thou+",204712,71,204783,12.6642375,20.0885224,1617018
Punjab,JALANDHAR,Justice (Retd.) Jora Singh,0,AAP,Broom,MALE,0,69,SC,Graduate Professional,"Rs 5,45,83,193
 ~ 5 Crore+","Rs 9,69,208
 ~ 9 Lacs+",25382,85,25467,1.574936086,2.498226903,1617018
Punjab,JALANDHAR,NOTA,0,NOTA,,,,,,,,,12301,23,12324,0.76214365,1.208942881,1617018
Uttar Pradesh,JALAUN,BHANU PRATAP SINGH VERMA,1,BJP,Lotus,MALE,1,60,SC,Post Graduate,"Rs 1,06,99,516
 ~ 1 Crore+","Rs 12,265
 ~ 12 Thou+",579723,2040,581763,30.09080574,51.44948556,1933358
Uttar Pradesh,JALAUN,AJAY SINGH (PANKAJ),0,BSP,Elephant,MALE,0,46,SC,12th Pass,"Rs 1,91,37,271
 ~ 1 Crore+","Rs 6,61,326
 ~ 6 Lacs+",422476,910,423386,21.89899646,37.44306856,1933358
Uttar Pradesh,JALAUN,BRIJLAL KHABRI,0,INC,Hand,MALE,0,56,SC,Post Graduate,"Rs 3,54,24,896
 ~ 3 Crore+","Rs 43,43,988
 ~ 43 Lacs+",89444,162,89606,4.634733971,7.924502939,1933358
Uttar Pradesh,JALAUN,SHRAVAN KUMAR PAL,0,RSOSP,Glass Tumbler,MALE,0,55,SC,12th Pass,"Rs 3,39,42,093
 ~ 3 Crore+","Rs 15,00,000
 ~ 15 Lacs+",13861,33,13894,0.718646003,1.228746332,1933358
Uttar Pradesh,JALAUN,NOTA,0,NOTA,,,,,,,,,12493,21,12514,0.647267604,1.106703008,1933358
Maharashtra,JALGAON,Unmesh Bhaiyyasaheb Patil,1,BJP,Lotus,MALE,1,40,GENERAL,Graduate Professional,"Rs 1,23,24,604
 ~ 1 Crore+","Rs 25,29,954
 ~ 25 Lacs+",709510,4364,713874,36.96147872,65.35590005,1931400
Maharashtra,JALGAON,Gulabrao Baburao Deokar,0,NCP,Clock,MALE,2,63,GENERAL,10th Pass,"Rs 5,06,52,517
 ~ 5 Crore+","Rs 85,52,661
 ~ 85 Lacs+",299240,3017,302257,15.64963239,27.6719397,1931400
Maharashtra,JALGAON,Anjali Ratnakar Baviskar,0,VBA,Cup & Saucer,FEMALE,0,50,GENERAL,Graduate,"Rs 2,03,88,746
 ~ 2 Crore+","Rs 36,65,000
 ~ 36 Lacs+",37164,202,37366,1.934658797,3.42089579,1931400
Maharashtra,JALNA,Danve Raosaheb Dadarao,0,BJP,Lotus,MALE,2,65,GENERAL,Graduate,"Rs 22,95,57,992
 ~ 22 Crore+","Rs 24,00,000
 ~ 24 Lacs+",694945,3074,698019,37.38279367,57.73065166,1867220
Maharashtra,JALNA,Autade Vilas Keshavrao,0,INC,Hand,MALE,3,50,GENERAL,12th Pass,"Rs 27,82,37,603
 ~ 27 Crore+","Rs 1,56,78,811
 ~ 1 Crore+",364348,856,365204,19.55870224,30.20471493,1867220
Maharashtra,JALNA,Dr. Sharadchandra Wankhede,0,VBA,Whistle,MALE,2,65,GENERAL,Post Graduate,"Rs 2,32,82,500
 ~ 2 Crore+","Rs 0
 ~",76924,234,77158,4.132239372,6.381461852,1867220
Maharashtra,JALNA,NOTA,0,NOTA,,,,,,,,,15550,87,15637,0.837448185,1.293280269,1867220
Rajasthan,JALORE,Devaji Patel,1,BJP,Lotus,MALE,0,42,GENERAL,10th Pass,"Rs 8,83,32,292
 ~ 8 Crore+","Rs 6,09,36,530
 ~ 6 Crore+",772383,450,772833,37.31250398,56.75805489,2071244
Rajasthan,JALORE,Ratan Devasi,0,INC,Hand,MALE,0,44,GENERAL,12th Pass,"Rs 2,33,61,271
 ~ 2 Crore+","Rs 45,44,357
 ~ 45 Lacs+",511363,360,511723,24.70607036,37.58173127,2071244
Rajasthan,JALORE,NOTA,0,NOTA,,,,,,,,,17711,3,17714,0.855234825,1.300943651,2071244
West Bengal,JALPAIGURI,Dr. JAYANTA KUMAR ROY,1,BJP,Lotus,MALE,0,51,SC,Graduate Professional,"Rs 1,16,25,047
 ~ 1 Crore+","Rs 13,52,581
 ~ 13 Lacs+",757806,2339,760145,43.80067809,50.62978768,1735464
West Bengal,JALPAIGURI,BIJOY CHANDRA BARMAN,0,AITC,Flowers and Grass,MALE,0,62,SC,Post Graduate,"Rs 1,46,12,159
 ~ 1 Crore+","Rs 0
 ~",575547,594,576141,33.19809573,38.37412139,1735464
West Bengal,JALPAIGURI,BHAGIRATH CHANDRA ROY,0,CPI(M),"Hammer, Sickle and Star",MALE,0,62,SC,Post Graduate,"Rs 3,08,18,307
 ~ 3 Crore+","Rs 0
 ~",76054,112,76166,4.388797463,5.073069491,1735464
West Bengal,JALPAIGURI,MANI KUMAR DARNAL,0,INC,Hand,MALE,0,61,SC,12th Pass,"Rs 70,11,294
 ~ 70 Lacs+","Rs 3,00,000
 ~ 3 Lacs+",28488,74,28562,1.645784643,1.902384408,1735464
West Bengal,JALPAIGURI,NOTA,0,NOTA,,,,,,,,,19909,19,19928,1.148280806,1.32731309,1735464
Jammu & Kashmir,JAMMU,Jugal Kishore,1,BJP,Lotus,MALE,0,56,GENERAL,10th Pass,"Rs 5,64,81,801
 ~ 5 Crore+","Rs 35,00,40,219
 ~ 35 Crore+",840214,17852,858066,41.91203838,57.80608426,2047302
Jammu & Kashmir,JAMMU,Raman Bhalla,0,INC,Hand,MALE,0,56,GENERAL,Graduate Professional,"Rs 5,92,72,009
 ~ 5 Crore+","Rs 68,05,874
 ~ 68 Lacs+",551187,4004,555191,27.11817797,37.40203869,2047302
Gujarat,JAMNAGAR,POONAMBEN HEMATBHAI MAADAM,1,BJP,Lotus,FEMALE,0,44,GENERAL,Graduate,"Rs 42,73,31,034
 ~ 42 Crore+","Rs 9,86,32,194
 ~ 9 Crore+",587501,4087,591588,35.69877731,58.48915763,1657166
Gujarat,JAMNAGAR,KANDORIYA MULUBHAI RANMALBHAI,0,INC,Hand,MALE,1,60,GENERAL,Graduate,"Rs 29,08,28,040
 ~ 29 Crore+","Rs 4,38,38,249
 ~ 4 Crore+",353199,1585,354784,21.40908032,35.07680565,1657166
Jharkhand,JAMSHEDPUR,Bidyut Baran Mahato,1,BJP,Lotus,MALE,3,56,GENERAL,12th Pass,"Rs 2,77,50,671
 ~ 2 Crore+","Rs 29,61,830
 ~ 29 Lacs+",678984,648,679632,39.9013902,59.3862256,1703279
Jharkhand,JAMSHEDPUR,Champai Soren,0,JMM,Bow & Arrow,MALE,1,62,ST,10th Pass,"Rs 2,28,22,491
 ~ 2 Crore+","Rs 76,50,059
 ~ 76 Lacs+",377352,190,377542,22.16559941,32.98960965,1703279
Bihar,JAMUI (SC),CHIRAG KUMAR PASWAN,1,LJP,Bungalow,MALE,1,37,SC,Graduate Professional,"Rs 1,84,66,066
 ~ 1 Crore+","Rs 0
 ~",527860,1274,529134,30.78483187,55.72406617,1718814
Bihar,JAMUI (SC),BHUDEO CHOUDHARY,0,BLSP,Ceiling Fan,MALE,3,56,SC,Graduate,"Rs 1,77,23,000
 ~ 1 Crore+","Rs 15,00,000
 ~ 15 Lacs+",287805,280,288085,16.76068498,30.33875654,1718814
Bihar,JAMUI (SC),NOTA,0,NOTA,,,,,,,,,39450,46,39496,2.297863527,4.159395763,1718814
Bihar,JAMUI (SC),UPENDRA RAVIDAS,0,BSP,Elephant,MALE,Not Available,40,SC,Not Available,Not Available,Not Available,31504,107,31611,1.839116973,3.329012038,1718814
Bihar,JAMUI (SC),SUBHASH PASWAN,0,IND,Bat,MALE,0,51,SC,Graduate,"Rs 17,70,000
 ~ 17 Lacs+","Rs 0
 ~",16714,5,16719,0.972705598,1.760708369,1718814
Bihar,JAMUI (SC),VIRENDRA KUMAR,0,IND,Cup & Saucer,MALE,0,60,SC,Graduate,"Rs 2,15,37,694
 ~ 2 Crore+","Rs 5,55,000
 ~ 5 Lacs+",14611,17,14628,0.851051946,1.540501347,1718814
Bihar,JAMUI (SC),VISHNU PRIYA,0,BMUP,Cot,FEMALE,0,32,SC,Graduate,"Rs 88,10,000
 ~ 88 Lacs+","Rs 0
 ~",10598,27,10625,0.6181588,1.11893812,1718814
West Bengal,JANGIPUR,KHALILUR RAHAMAN,1,AITC,Flowers and Grass,MALE,0,58,GENERAL,Graduate,"Rs 36,83,06,705
 ~ 36 Crore+","Rs 22,48,968
 ~ 22 Lacs+",562518,320,562838,34.82449405,43.14161344,1616213
West Bengal,JANGIPUR,MAFUJA KHATUN,0,BJP,Lotus,FEMALE,2,48,GENERAL,Graduate,"Rs 24,08,235
 ~ 24 Lacs+","Rs 0
 ~",316147,909,317056,19.6172163,24.30238788,1616213
West Bengal,JANGIPUR,ABHIJIT MUKHERJEE,0,INC,Hand,MALE,0,59,GENERAL,Graduate Professional,"Rs 14,33,50,474
 ~ 14 Crore+","Rs 3,04,21,037
 ~ 3 Crore+",255554,282,255836,15.82934923,19.6098661,1616213
West Bengal,JANGIPUR,MD. ZULFIKAR ALI,0,CPI(M),"Hammer, Sickle and Star",MALE,0,53,GENERAL,Post Graduate,"Rs 86,64,555
 ~ 86 Lacs+","Rs 13,00,000
 ~ 13 Lacs+",95450,51,95501,5.908936508,7.32016535,1616213
West Bengal,JANGIPUR,DR. S.Q.R. ILYAS,0,WPOI,Battery Torch,MALE,0,65,GENERAL,Doctorate,"Rs 97,70,000
 ~ 97 Lacs+","Rs 0
 ~",21292,10,21302,1.318019345,1.632801356,1616213
Chhattisgarh,JANJGIR-CHAMPA,GUHARAM AJGALLEY,1,BJP,Lotus,MALE,0,52,SC,Graduate Professional,"Rs 1,84,00,837
 ~ 1 Crore+","Rs 0
 ~",570486,2304,572790,30.19238493,45.87920934,1897134
Chhattisgarh,JANJGIR-CHAMPA,RAVI PARASRAM BHARDWAJ,0,INC,Hand,MALE,0,42,SC,Graduate,"Rs 1,53,16,449
 ~ 1 Crore+","Rs 7,44,582
 ~ 7 Lacs+",488051,1484,489535,25.80392318,39.21066838,1897134
Chhattisgarh,JANJGIR-CHAMPA,DAURAM RATNAKAR,0,BSP,Elephant,MALE,0,60,SC,Post Graduate,"Rs 1,85,96,521
 ~ 1 Crore+","Rs 19,70,757
 ~ 19 Lacs+",130576,811,131387,6.925551911,10.52380746,1897134
Uttar Pradesh,JAUNPUR,SHYAM SINGH YADAV,1,BSP,Elephant,MALE,0,65,GENERAL,Post Graduate,"Rs 14,07,17,620
 ~ 14 Crore+","Rs 35,77,000
 ~ 35 Lacs+",520046,1082,521128,27.89800297,50.02030076,1867976
Uttar Pradesh,JAUNPUR,KRISHNA PRATAP SINGH K.P.,0,BJP,Lotus,MALE,0,42,GENERAL,Doctorate,"Rs 11,39,72,361
 ~ 11 Crore+","Rs 17,51,674
 ~ 17 Lacs+",439292,900,440192,23.56518499,42.25168525,1867976
Uttar Pradesh,JAUNPUR,DEO VRAT MISHRA,0,INC,Hand,MALE,0,48,GENERAL,Graduate Professional,"Rs 51,09,60,626
 ~ 51 Crore+","Rs 1,25,12,381
 ~ 1 Crore+",27107,78,27185,1.455318484,2.60934334,1867976
West Bengal,JAYNAGAR,PRATIMA MONDAL,1,AITC,Flowers and Grass,FEMALE,0,53,SC,Post Graduate,"Rs 2,74,71,675
 ~ 2 Crore+","Rs 0
 ~",760934,268,761202,46.1794941,56.11986558,1648355
West Bengal,JAYNAGAR,DR. ASHOK KANDARY,0,BJP,Lotus,MALE,0,43,SC,Graduate Professional,"Rs 2,84,92,070
 ~ 2 Crore+","Rs 20,81,000
 ~ 20 Lacs+",444040,387,444427,26.96184984,32.76552545,1648355
West Bengal,JAYNAGAR,SUBHAS NASKAR,0,RSP,Spade & Stoker,MALE,0,67,SC,Graduate,"Rs 40,45,301
 ~ 40 Lacs+","Rs 0
 ~",67880,33,67913,4.120046956,5.006908063,1648355
West Bengal,JAYNAGAR,JAYKRISHNA HALDAR,0,SUCI(C),Battery torch,MALE,2,64,SC,8th Pass,"Rs 1,55,500
 ~ 1 Lacs+","Rs 0
 ~",38258,3,38261,2.321162614,2.820804697,1648355
West Bengal,JAYNAGAR,TAPAN MONDAL,0,INC,Hand,MALE,0,50,SC,Post Graduate,"Rs 36,62,000
 ~ 36 Lacs+","Rs 60,000
 ~ 60 Thou+",18746,12,18758,1.137983019,1.382939665,1648355
